,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
369,370,0.019133,11.059238,1766.843562,437673,1766.852749,1766.834381,165,24,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
384,385,7.356631,12.386536,1647.375877,205207,1647.385064,1647.366696,206,59274,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
385,386,-12.94346,34.505119,1646.691137,450285,1646.700324,1646.681956,206,59274,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
386,387,5.481599,27.79874,1646.621531,475198,1646.630717,1646.61235,206,59274,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
388,389,21.333273,10.081974,1626.437433,359336,1626.44662,1626.428252,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
390,391,-17.104883,11.851505,1626.296693,409709,1626.305879,1626.287512,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
395,396,-13.201756,18.815424,1625.965836,528127,1625.975023,1625.956655,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
396,397,-9.040333,25.264305,1625.929744,541045,1625.938931,1625.920563,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
397,398,-2.649918,19.218895,1625.89212,554511,1625.901307,1625.882939,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
398,399,-0.468758,18.968493,1625.842385,572312,1625.851572,1625.833204,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
399,400,-0.822718,12.776961,1625.801194,587055,1625.81038,1625.792013,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
401,402,11.039729,19.878767,1625.756331,603112,1625.765517,1625.74715,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
402,403,-13.058258,25.969376,1625.722012,615395,1625.731199,1625.712832,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
404,405,11.039729,22.086349,1625.677451,631344,1625.686638,1625.668271,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
405,406,-17.860636,12.95482,1625.648408,641739,1625.657595,1625.639227,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
409,410,-15.899506,10.06948,1625.06493,850574,1625.074117,1625.055749,213,75194058,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
411,412,-19.448673,14.056067,1624.085139,152679,1624.094325,1624.075958,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
412,413,-19.850466,12.790448,1623.936645,205827,1623.945831,1623.927464,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
416,417,-5.883391,11.93861,1623.45397,378583,1623.463157,1623.444789,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
417,418,11.489354,11.569156,1623.269334,444667,1623.27852,1623.260153,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
419,420,-18.692921,11.699053,1623.185607,474634,1623.194793,1623.176426,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
420,421,19.037315,12.378208,1623.134812,492814,1623.143999,1623.125631,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
424,425,-13.096524,13.41478,1622.851174,594332,1622.860361,1622.841993,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
426,427,-20.539253,13.327577,1622.721649,640691,1622.730835,1622.712468,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
427,428,-19.888733,17.121037,1622.687903,652769,1622.69709,1622.678722,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
429,430,-21.935961,19.506979,1622.612159,679879,1622.621345,1622.602978,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
430,431,21.591568,18.302013,1622.60024,684145,1622.609426,1622.591059,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
431,432,3.061277,80.742172,1622.567749,695774,1622.576935,1622.558568,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
432,433,16.205633,10.113991,1622.436357,742801,1622.445543,1622.427176,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
433,434,7.93062,10.402269,1622.354234,772194,1622.36342,1622.345053,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
434,435,-14.330602,16.185158,1622.288061,795878,1622.297248,1622.27888,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
437,438,-20.921913,29.701864,1622.172872,837106,1622.182058,1622.163691,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
439,440,-9.432559,19.290653,1622.120479,855858,1622.129666,1622.111298,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
441,442,16.483063,14.656049,1622.071892,873248,1622.081079,1622.062711,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
443,444,9.260362,11.091378,1621.953822,915507,1621.963008,1621.944641,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
444,445,0.583556,25.531992,1621.734202,994112,1621.743388,1621.725021,214,4972768,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,22.515000,292.057776,,on_table_1,,0,0.0
