,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
436,437,0.019133,11.059238,1766.843562,437673,1766.847641,1766.839488,165,24,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
453,454,7.356631,12.386536,1647.375877,205207,1647.379956,1647.371803,206,26990,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
454,455,-4.917176,34.455715,1646.69026,450599,1646.694339,1646.686186,206,26990,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
455,456,5.481599,27.79874,1646.621531,475198,1646.62561,1646.617457,206,26990,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
456,457,-8.619408,11.581844,1626.462439,350386,1626.466518,1626.458365,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
457,458,0.51659,10.049157,1626.448679,355311,1626.452758,1626.444605,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
458,459,-9.872618,11.598707,1626.404601,371087,1626.40868,1626.400528,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
459,460,8.179349,11.773121,1626.295628,410090,1626.299707,1626.291554,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
460,461,-3.185641,11.41299,1626.286595,413323,1626.290674,1626.282522,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
461,462,-9.92045,14.151352,1626.237312,430962,1626.241392,1626.233239,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
462,463,-9.968283,34.133976,1626.130999,469013,1626.135078,1626.126925,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
463,464,0.105231,31.255085,1626.11226,475720,1626.116339,1626.108186,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
469,470,-9.863051,17.954741,1625.965278,528327,1625.969357,1625.961204,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
470,471,-9.174264,12.383455,1625.940009,537371,1625.944088,1625.935935,213,33452868,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,,on_table_1,,0,0.0
