
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.000672, Drift Rate -0.229596, index 94538
Top hit found! SNR 379.214539, Drift Rate -0.095665, index 201978
Top hit found! SNR 3549.435547, Drift Rate -0.086098, index 309413
Top hit found! SNR 1129.737549, Drift Rate 0.066965, index 310967
Top hit found! SNR 273.977844, Drift Rate -0.239162, index 349492
Top hit found! SNR 15.148178, Drift Rate 0.153064, index 352281
Top hit found! SNR 277384.750000, Drift Rate -0.047832, index 416851
Top hit found! SNR 5762.223145, Drift Rate -0.000000, index 422711
Top hit found! SNR 20.681465, Drift Rate -0.000000, index 431894
Top hit found! SNR 575.925354, Drift Rate -0.114798, index 436891
Top hit found! SNR 24.097225, Drift Rate -0.095665, index 456937
Top hit found! SNR 17.539360, Drift Rate 0.172197, index 464169
Top hit found! SNR 11.786123, Drift Rate -0.095665, index 469660
Top hit found! SNR 13.912571, Drift Rate 0.057399, index 471481
Top hit found! SNR 26.051168, Drift Rate -0.411359, index 476968
Top hit found! SNR 39.931721, Drift Rate 0.066965, index 484209
Top hit found! SNR 31.669842, Drift Rate -0.009566, index 489586
Top hit found! SNR 214.200317, Drift Rate -0.000000, index 491520
Top hit found! SNR 16.991190, Drift Rate -0.000000, index 501378
Top hit found! SNR 27.734041, Drift Rate 0.057399, index 504249
Top hit found! SNR 105.595741, Drift Rate -0.000000, index 509015
Top hit found! SNR 40.120556, Drift Rate -0.000000, index 516555
Top hit found! SNR 308660.781250, Drift Rate -0.019133, index 524287
Top hit found! SNR 308660.781250, Drift Rate -0.009566, index 524288
Top hit found! SNR 308660.781250, Drift Rate -0.000000, index 524289
Top hit found! SNR 40.120556, Drift Rate -0.000000, index 532021
Top hit found! SNR 105.595741, Drift Rate -0.000000, index 539561
Top hit found! SNR 27.734039, Drift Rate -0.057399, index 544327
Top hit found! SNR 16.991192, Drift Rate -0.000000, index 547198
Top hit found! SNR 214.200317, Drift Rate -0.000000, index 557056
Top hit found! SNR 31.669838, Drift Rate 0.009566, index 558990
Top hit found! SNR 39.931721, Drift Rate -0.066965, index 564367
Top hit found! SNR 26.051174, Drift Rate 0.411359, index 571608
Top hit found! SNR 13.912571, Drift Rate -0.057399, index 577095
Top hit found! SNR 11.786123, Drift Rate 0.095665, index 578916
Top hit found! SNR 17.539360, Drift Rate -0.172197, index 584407
Top hit found! SNR 24.097225, Drift Rate 0.095665, index 591639
Top hit found! SNR 575.925354, Drift Rate 0.114798, index 611685
Top hit found! SNR 20.681467, Drift Rate -0.000000, index 616682
Top hit found! SNR 5762.223145, Drift Rate -0.000000, index 625865
Top hit found! SNR 277384.750000, Drift Rate 0.047832, index 631725
Top hit found! SNR 15.148173, Drift Rate -0.143497, index 696295
Top hit found! SNR 273.977844, Drift Rate 0.239162, index 699084
Top hit found! SNR 1129.737549, Drift Rate -0.066965, index 737609
Top hit found! SNR 3549.435303, Drift Rate 0.086098, index 739163
Top hit found! SNR 379.214508, Drift Rate 0.095665, index 846598
Top hit found! SNR 10.000669, Drift Rate 0.229596, index 954038
Top hit found! SNR 859.016479, Drift Rate 0.009566, index 524290
Top hit found! SNR 54.326302, Drift Rate -0.000000, index 794942
Top hit found! SNR 961.714233, Drift Rate -0.000000, index 17020
Top hit found! SNR 238.187500, Drift Rate -0.000000, index 405981
Top hit found! SNR 330.986603, Drift Rate 0.095665, index 524295
Top hit found! SNR 13.956878, Drift Rate -0.000000, index 801752
Top hit found! SNR 24.025648, Drift Rate -0.000000, index 900693
Top hit found! SNR 1951.906494, Drift Rate -0.000000, index 17020
Top hit found! SNR 34.786449, Drift Rate -0.000000, index 346828
Top hit found! SNR 23.551355, Drift Rate -0.000000, index 511732
Top hit found! SNR 286.320801, Drift Rate 0.114798, index 524296
Top hit found! SNR 14074.956055, Drift Rate 0.009566, index 676636
Top hit found! SNR 18.890244, Drift Rate -0.000000, index 808557
Top hit found! SNR 24.263941, Drift Rate -0.000000, index 940480
Top hit found! SNR 10.343241, Drift Rate -0.000000, index 957699
Top hit found! SNR 38.581268, Drift Rate 0.009566, index 1027051
Top hit found! SNR 1464.254639, Drift Rate -0.000000, index 287675
Top hit found! SNR 366.834869, Drift Rate 0.057399, index 524292
Top hit found! SNR 17.799612, Drift Rate -0.000000, index 617482
Top hit found! SNR 4623.903809, Drift Rate -0.000000, index 947290
Top hit found! SNR 543.391724, Drift Rate -0.000000, index 949886
Top hit found! SNR 13.421403, Drift Rate 0.009566, index 1027051
Top hit found! SNR 16.650198, Drift Rate -0.000000, index 37446
Top hit found! SNR 14.565014, Drift Rate -0.000000, index 228521
Top hit found! SNR 12.454508, Drift Rate -0.000000, index 393425
Top hit found! SNR 392.496948, Drift Rate 0.124364, index 524297
Top hit found! SNR 42137.683594, Drift Rate -0.000000, index 558329
Top hit found! SNR 11.878760, Drift Rate -0.000000, index 690251
Top hit found! SNR 19.446487, Drift Rate -0.000000, index 691894
Top hit found! SNR 33.876068, Drift Rate -0.000000, index 723233
Top hit found! SNR 135.917923, Drift Rate -0.000000, index 822173
Top hit found! SNR 33.389565, Drift Rate -0.000000, index 823902
Top hit found! SNR 22.812212, Drift Rate -0.000000, index 855155
Top hit found! SNR 10.607115, Drift Rate -0.000000, index 858288
Top hit found! SNR 51.362690, Drift Rate -0.000000, index 888136
Top hit found! SNR 61.133575, Drift Rate -0.000000, index 921118
Top hit found! SNR 13.147491, Drift Rate -0.000000, index 924289
Top hit found! SNR 11.108665, Drift Rate -0.000000, index 947290
Top hit found! SNR 68.153893, Drift Rate -0.000000, index 954100
Top hit found! SNR 19.110897, Drift Rate -0.000000, index 955823
Top hit found! SNR 27.901266, Drift Rate -0.000000, index 957289
Top hit found! SNR 35.423130, Drift Rate -0.000000, index 987077
Top hit found! SNR 130.006638, Drift Rate -0.000000, index 37446
Top hit found! SNR 16.275574, Drift Rate -0.000000, index 39209
Top hit found! SNR 22.654198, Drift Rate -0.000000, index 40710
Top hit found! SNR 20.362051, Drift Rate -0.000000, index 103405
Top hit found! SNR 40.645027, Drift Rate -0.000000, index 136386
Top hit found! SNR 43174.867188, Drift Rate -0.000000, index 169368
Top hit found! SNR 1079.774048, Drift Rate -0.000000, index 172706
Top hit found! SNR 21.593987, Drift Rate -0.000000, index 202350
Top hit found! SNR 26.833860, Drift Rate -0.000000, index 235331
Top hit found! SNR 38.547600, Drift Rate -0.000000, index 268308
Top hit found! SNR 10.421136, Drift Rate -0.000000, index 270142
Top hit found! SNR 12.939128, Drift Rate -0.000000, index 271702
Top hit found! SNR 89.887909, Drift Rate -0.000000, index 301290
Top hit found! SNR 15.363542, Drift Rate -0.000000, index 303133
Top hit found! SNR 20.606241, Drift Rate -0.000000, index 304702
Top hit found! SNR 19.205120, Drift Rate -0.000000, index 334272
Top hit found! SNR 11.500196, Drift Rate -0.000000, index 336125
Top hit found! SNR 18.104654, Drift Rate -0.000000, index 367254
Top hit found! SNR 118.750969, Drift Rate -0.000000, index 433212
Top hit found! SNR 19.819241, Drift Rate -0.000000, index 435096
Top hit found! SNR 12.630783, Drift Rate -0.000000, index 436698
Top hit found! SNR 28.271809, Drift Rate -0.000000, index 466194
Top hit found! SNR 17.507835, Drift Rate -0.000000, index 499175
Top hit found! SNR 389.654083, Drift Rate -0.124364, index 524279
Top hit found! SNR 52.206474, Drift Rate -0.000000, index 532157
Top hit found! SNR 95.387711, Drift Rate -0.000000, index 565139
Top hit found! SNR 12.745657, Drift Rate -0.000000, index 567115
Top hit found! SNR 12.144107, Drift Rate -0.000000, index 568699
Top hit found! SNR 12.717360, Drift Rate -0.000000, index 598116
Top hit found! SNR 15.309124, Drift Rate -0.000000, index 631097
Top hit found! SNR 25.631308, Drift Rate -0.000000, index 697061
Top hit found! SNR 11.714251, Drift Rate -0.000000, index 699025
Top hit found! SNR 5624.833008, Drift Rate -0.000000, index 828983
Top hit found! SNR 762.896362, Drift Rate -0.000000, index 831041
Top hit found! SNR 230.334076, Drift Rate -0.009566, index 832691
Top hit found! SNR 12.295869, Drift Rate -0.000000, index 46392
Top hit found! SNR 1056.339722, Drift Rate -0.000000, index 51061
Top hit found! SNR 16.204813, Drift Rate -0.000000, index 53531
Top hit found! SNR 13.021465, Drift Rate -0.000000, index 110215
Top hit found! SNR 11.803450, Drift Rate -0.000000, index 112376
Top hit found! SNR 13.274837, Drift Rate -0.000000, index 176178
Top hit found! SNR 15.042714, Drift Rate -0.000000, index 178360
Top hit found! SNR 18.002504, Drift Rate -0.000000, index 275118
Top hit found! SNR 10.771406, Drift Rate -0.000000, index 308100
Top hit found! SNR 38.374542, Drift Rate -0.000000, index 310323
Top hit found! SNR 2278.611816, Drift Rate -0.000000, index 342535
Top hit found! SNR 9578.828125, Drift Rate -0.000000, index 440022
Top hit found! SNR 15.184671, Drift Rate 0.009566, index 507182
Top hit found! SNR 371.520294, Drift Rate -0.057399, index 524284
Top hit found! SNR 26.437227, Drift Rate -0.000000, index 571944
Top hit found! SNR 11.526564, Drift Rate -0.000000, index 604926
Top hit found! SNR 12.498873, Drift Rate -0.000000, index 703866
Top hit found! SNR 12.715603, Drift Rate -0.000000, index 835793
Top hit found! SNR 14836.906250, Drift Rate -0.000000, index 51061
