
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 359.871735, Drift Rate -0.114798, index 202008
Top hit found! SNR 3258.780029, Drift Rate -0.086098, index 309434
Top hit found! SNR 1169.993408, Drift Rate 0.047832, index 310979
Top hit found! SNR 286.657715, Drift Rate -0.143497, index 349531
Top hit found! SNR 15.036448, Drift Rate -0.248729, index 352281
Top hit found! SNR 254245.265625, Drift Rate -0.028699, index 416862
Top hit found! SNR 6078.654785, Drift Rate 0.038266, index 422718
Top hit found! SNR 20.962589, Drift Rate -0.000000, index 431894
Top hit found! SNR 570.879761, Drift Rate -0.066965, index 436910
Top hit found! SNR 23.285681, Drift Rate -0.047832, index 456958
Top hit found! SNR 17.256863, Drift Rate 0.066965, index 464147
Top hit found! SNR 13.123106, Drift Rate -0.124364, index 469674
Top hit found! SNR 14.707639, Drift Rate 0.038266, index 471473
Top hit found! SNR 26.638451, Drift Rate -0.162630, index 477000
Top hit found! SNR 37.579391, Drift Rate 0.047832, index 484192
Top hit found! SNR 30.315773, Drift Rate 0.009566, index 490016
Top hit found! SNR 211.438080, Drift Rate -0.000000, index 491520
Top hit found! SNR 15.391308, Drift Rate -0.000000, index 501379
Top hit found! SNR 25.015800, Drift Rate -0.000000, index 504238
Top hit found! SNR 76.409775, Drift Rate -0.000000, index 508152
Top hit found! SNR 64.839439, Drift Rate -0.000000, index 516534
Top hit found! SNR 175137.500000, Drift Rate -0.019133, index 524287
Top hit found! SNR 175137.500000, Drift Rate -0.009566, index 524288
Top hit found! SNR 175137.500000, Drift Rate 0.009566, index 524289
Top hit found! SNR 64.839447, Drift Rate -0.000000, index 532042
Top hit found! SNR 76.409775, Drift Rate -0.000000, index 540424
Top hit found! SNR 25.015800, Drift Rate -0.000000, index 544338
Top hit found! SNR 15.391308, Drift Rate -0.000000, index 547197
Top hit found! SNR 211.438080, Drift Rate -0.000000, index 557056
Top hit found! SNR 30.315773, Drift Rate -0.009566, index 558560
Top hit found! SNR 37.579391, Drift Rate -0.047832, index 564384
Top hit found! SNR 26.638451, Drift Rate 0.162630, index 571576
Top hit found! SNR 14.707639, Drift Rate -0.038266, index 577103
Top hit found! SNR 13.123106, Drift Rate 0.124364, index 578902
Top hit found! SNR 17.256863, Drift Rate -0.066965, index 584429
Top hit found! SNR 23.285681, Drift Rate 0.047832, index 591618
Top hit found! SNR 570.879761, Drift Rate 0.066965, index 611666
Top hit found! SNR 20.962589, Drift Rate -0.000000, index 616682
Top hit found! SNR 6078.655273, Drift Rate -0.038266, index 625858
Top hit found! SNR 254245.234375, Drift Rate 0.028699, index 631714
Top hit found! SNR 15.036447, Drift Rate 0.248729, index 696295
Top hit found! SNR 286.657745, Drift Rate 0.153064, index 699045
Top hit found! SNR 1169.993408, Drift Rate -0.047832, index 737597
Top hit found! SNR 3258.779785, Drift Rate 0.086098, index 739142
Top hit found! SNR 359.871765, Drift Rate 0.114798, index 846568
Top hit found! SNR 432.082306, Drift Rate 0.038266, index 524290
Top hit found! SNR 51.337299, Drift Rate -0.000000, index 794942
Top hit found! SNR 840.095520, Drift Rate -0.000000, index 17020
Top hit found! SNR 222.331726, Drift Rate -0.000000, index 405981
Top hit found! SNR 167.816696, Drift Rate -0.000000, index 524289
Top hit found! SNR 13.674773, Drift Rate -0.000000, index 801752
Top hit found! SNR 26.361153, Drift Rate -0.000000, index 900693
Top hit found! SNR 1708.194946, Drift Rate -0.000000, index 17020
Top hit found! SNR 32.226730, Drift Rate -0.000000, index 346828
Top hit found! SNR 24.655684, Drift Rate -0.000000, index 511732
Top hit found! SNR 145.909546, Drift Rate 0.028699, index 524290
Top hit found! SNR 15930.325195, Drift Rate -0.000000, index 676636
Top hit found! SNR 10.137540, Drift Rate -0.000000, index 775576
