,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
15,16,-0.076532,25.670513,2250.188232,456917,2250.188299,2250.188171,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
20,21,-0.066965,28.6542,2250.132252,476953,2250.13232,2250.132191,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
22,23,0.124364,11.605131,2250.107571,485787,2250.107638,2250.107509,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
64,65,-0.124364,20.330082,2250.002339,523451,2250.002406,2250.002277,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
66,67,0.124364,20.330082,2249.997661,525125,2249.997729,2249.9976,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
108,109,-0.124364,11.605131,2249.892429,562789,2249.892497,2249.892368,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
110,111,0.066965,28.654203,2249.867748,571623,2249.867815,2249.867686,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
115,116,0.076532,25.670515,2249.811768,591659,2249.811835,2249.811706,0,176552,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
662,663,0.105231,20.166706,1824.751636,683086,1824.751703,1824.751575,145,11,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
695,696,-0.019133,27.910515,1647.008655,336641,1647.008722,1647.008593,206,297,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,,on_table_1,,0,0.0
