,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-0.133931,385.369446,2250.900566,201963,2250.900627,2250.90051,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
1,2,0.124364,1156.282837,2250.595984,310977,2250.596046,2250.595928,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
2,3,0.143497,26428.371094,2250.297979,417637,2250.298041,2250.297924,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
3,4,-0.133931,43.660034,2250.111974,484211,2250.112035,2250.111918,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
4,5,0.124364,11.605131,2250.107571,485787,2250.107632,2250.107515,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
5,6,-0.124364,10.648549,2250.004093,522823,2250.004155,2250.004037,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
6,7,-0.105231,10.585274,2250.003993,522859,2250.004054,2250.003937,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
7,8,-0.133931,11.34989,2250.003752,522945,2250.003814,2250.003696,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
8,9,-0.143497,12.222608,2250.003635,522987,2250.003696,2250.003579,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
9,10,-0.124364,13.242749,2250.003308,523104,2250.00337,2250.003252,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
10,11,-0.105231,16.326765,2250.002805,523284,2250.002867,2250.002749,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
11,12,-0.124364,20.330082,2250.002339,523451,2250.0024,2250.002283,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
12,13,0.124364,20.330082,2249.997661,525125,2249.997723,2249.997606,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
13,14,0.105231,16.326765,2249.997195,525292,2249.997256,2249.997139,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
14,15,0.124364,13.242751,2249.996692,525472,2249.996753,2249.996636,0,166074,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,,on_table_1,,,0.0
