
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=0.1315720815425981, min_drift=0.08771472102839875, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 379.214539, Drift Rate -0.095665, index 201978
Top hit found! SNR 271.228302, Drift Rate -0.124364, index 349495
Top hit found! SNR 14.442435, Drift Rate 0.105231, index 352278
Top hit found! SNR 16.331753, Drift Rate -0.114798, index 416959
Top hit found! SNR 575.925354, Drift Rate -0.114798, index 436891
Top hit found! SNR 24.097225, Drift Rate -0.095665, index 456937
Top hit found! SNR 16.831287, Drift Rate 0.124364, index 464167
Top hit found! SNR 11.786123, Drift Rate -0.095665, index 469660
Top hit found! SNR 25.690777, Drift Rate -0.095665, index 476974
Top hit found! SNR 10.529860, Drift Rate 0.124364, index 485750
Top hit found! SNR 10.386009, Drift Rate 0.124364, index 522792
Top hit found! SNR 10.787363, Drift Rate 0.095665, index 522854
Top hit found! SNR 11.522265, Drift Rate -0.114798, index 522907
Top hit found! SNR 11.855779, Drift Rate -0.124364, index 522955
Top hit found! SNR 13.058629, Drift Rate 0.114798, index 523047
Top hit found! SNR 13.127437, Drift Rate 0.105231, index 523084
Top hit found! SNR 14.433399, Drift Rate -0.114798, index 523185
Top hit found! SNR 15.874337, Drift Rate -0.124364, index 523234
Top hit found! SNR 15.874341, Drift Rate 0.124364, index 525342
Top hit found! SNR 14.433401, Drift Rate 0.114798, index 525391
Top hit found! SNR 13.127437, Drift Rate -0.105231, index 525492
Top hit found! SNR 13.058629, Drift Rate -0.114798, index 525529
Top hit found! SNR 11.522265, Drift Rate 0.114798, index 525669
Top hit found! SNR 10.787363, Drift Rate -0.095665, index 525722
Top hit found! SNR 10.386011, Drift Rate -0.124364, index 525784
