
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.15187436941945667, min_drift=0.10124957961297112, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 359.871735, Drift Rate -0.114798, index 202008
Top hit found! SNR 26.423992, Drift Rate -0.124364, index 204313
Top hit found! SNR 286.657715, Drift Rate -0.143497, index 349531
Top hit found! SNR 13.123106, Drift Rate -0.124364, index 469674
Top hit found! SNR 25.859980, Drift Rate -0.143497, index 477001
Top hit found! SNR 10.133677, Drift Rate 0.143497, index 485736
Top hit found! SNR 10.889283, Drift Rate -0.133931, index 522816
Top hit found! SNR 11.531255, Drift Rate 0.133931, index 522904
Top hit found! SNR 11.629714, Drift Rate 0.143497, index 522928
Top hit found! SNR 12.162070, Drift Rate -0.124364, index 522973
Top hit found! SNR 28.063957, Drift Rate -0.114798, index 523665
Top hit found! SNR 38.366947, Drift Rate -0.143497, index 523798
Top hit found! SNR 38.366947, Drift Rate 0.143497, index 524778
Top hit found! SNR 12.162070, Drift Rate 0.124364, index 525603
Top hit found! SNR 11.629714, Drift Rate -0.143497, index 525648
Top hit found! SNR 11.531255, Drift Rate -0.133931, index 525672
Top hit found! SNR 10.889286, Drift Rate 0.133931, index 525760
Top hit found! SNR 10.133679, Drift Rate -0.143497, index 562840
Top hit found! SNR 25.859980, Drift Rate 0.143497, index 571575
Top hit found! SNR 13.123106, Drift Rate 0.124364, index 578902
Top hit found! SNR 286.657745, Drift Rate 0.143497, index 699045
Top hit found! SNR 26.423998, Drift Rate 0.124364, index 844263
Top hit found! SNR 359.871765, Drift Rate 0.114798, index 846568
Top hit found! SNR 20.291998, Drift Rate 0.105231, index 715463
Top hit found! SNR 14.124990, Drift Rate -0.105231, index 733800
