
f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2064			2251			1			00		5952412334		['ON_L']
	1876			2064			1			01		5952412334		['ON_L']
	1689			1876			1			02		5952412334		['ON_L']
	1501			1689			1			03		5952412334		['ON_L']
	1314			1501			1			04		5952412334		['ON_L']
	1126			1314			1			05		5952412334		['ON_L']
	939			1126			1			06		5952412334		['ON_L']
	751			939			1			07		5952412334		['ON_L']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2064			2251			1			00		5952412684		['OFF_HD13908']
	1876			2064			1			01		5952412684		['OFF_HD13908']
	1689			1876			1			02		5952412684		['OFF_HD13908']
	1501			1689			1			03		5952412684		['OFF_HD13908']
	1314			1501			1			04		5952412684		['OFF_HD13908']
	1126			1314			1			05		5952412684		['OFF_HD13908']
	939			1126			1			06		5952412684		['OFF_HD13908']
	751			939			1			07		5952412684		['OFF_HD13908']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2064			2251			1			00		5952413034		['ON_L']
	1876			2064			1			01		5952413034		['ON_L']
	1689			1876			1			02		5952413034		['ON_L']
	1501			1689			1			03		5952413034		['ON_L']
	1314			1501			1			04		5952413034		['ON_L']
	1126			1314			1			05		5952413034		['ON_L']
	939			1126			1			06		5952413034		['ON_L']
	751			939			1			07		5952413034		['ON_L']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2064			2251			1			00		5952413383		['OFF_HD13908']
	1876			2064			1			01		5952413383		['OFF_HD13908']
	1689			1876			1			02		5952413383		['OFF_HD13908']
	1501			1689			1			03		5952413383		['OFF_HD13908']
	1314			1501			1			04		5952413383		['OFF_HD13908']
	1126			1314			1			05		5952413383		['OFF_HD13908']
	939			1126			1			06		5952413383		['OFF_HD13908']
	751			939			1			07		5952413383		['OFF_HD13908']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2064			2251			1			00		5952413732		['ON_L']
	1876			2064			1			01		5952413732		['ON_L']
	1689			1876			1			02		5952413732		['ON_L']
	1501			1689			1			03		5952413732		['ON_L']
	1314			1501			1			04		5952413732		['ON_L']
	1126			1314			1			05		5952413732		['ON_L']
	939			1126			1			06		5952413732		['ON_L']
	751			939			1			07		5952413732		['ON_L']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2064			2251			1			00		5952414080		['OFF_HD13908']
	1876			2064			1			01		5952414080		['OFF_HD13908']
	1689			1876			1			02		5952414080		['OFF_HD13908']
	1501			1689			1			03		5952414080		['OFF_HD13908']
	1314			1501			1			04		5952414080		['OFF_HD13908']
	1126			1314			1			05		5952414080		['OFF_HD13908']
	939			1126			1			06		5952414080		['OFF_HD13908']
	751			939			4			07		5952414080		['OFF_HD13908']
