
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=0.14253642167114797, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 379.214539, Drift Rate -0.095665, index 201978
Top hit found! SNR 25.650404, Drift Rate -0.076532, index 204292
Top hit found! SNR 3549.435547, Drift Rate -0.086098, index 309413
Top hit found! SNR 1129.737549, Drift Rate 0.066965, index 310967
Top hit found! SNR 271.228302, Drift Rate -0.124364, index 349495
Top hit found! SNR 14.612213, Drift Rate 0.133931, index 352281
Top hit found! SNR 14.074398, Drift Rate 0.009566, index 415495
Top hit found! SNR 277384.750000, Drift Rate -0.047832, index 416851
Top hit found! SNR 16.331753, Drift Rate -0.114798, index 416959
Top hit found! SNR 15.978279, Drift Rate -0.000000, index 417293
Top hit found! SNR 24177.419922, Drift Rate 0.038266, index 417626
Top hit found! SNR 5762.223145, Drift Rate -0.000000, index 422711
Top hit found! SNR 363.192963, Drift Rate -0.019133, index 424021
Top hit found! SNR 20.681465, Drift Rate -0.000000, index 431894
Top hit found! SNR 575.925354, Drift Rate -0.114798, index 436891
Top hit found! SNR 24.097225, Drift Rate -0.095665, index 456937
Top hit found! SNR 17.210251, Drift Rate 0.133931, index 464173
Top hit found! SNR 11.786123, Drift Rate -0.095665, index 469660
Top hit found! SNR 13.912571, Drift Rate 0.057399, index 471481
Top hit found! SNR 18.041731, Drift Rate 0.009566, index 475882
Top hit found! SNR 25.912283, Drift Rate -0.133931, index 476971
Top hit found! SNR 39.931721, Drift Rate 0.066965, index 484209
Top hit found! SNR 10.529860, Drift Rate 0.124364, index 485750
Top hit found! SNR 10.316340, Drift Rate 0.047832, index 489167
Top hit found! SNR 19.473616, Drift Rate -0.047832, index 489367
Top hit found! SNR 13.430660, Drift Rate -0.000000, index 489501
Top hit found! SNR 26.662439, Drift Rate -0.000000, index 489544
Top hit found! SNR 31.669842, Drift Rate -0.009566, index 489586
Top hit found! SNR 11.511856, Drift Rate -0.019133, index 489629
Top hit found! SNR 25.222401, Drift Rate -0.000000, index 489716
Top hit found! SNR 23.535612, Drift Rate -0.000000, index 489802
Top hit found! SNR 24.004404, Drift Rate 0.009566, index 489888
Top hit found! SNR 12.167954, Drift Rate -0.009566, index 489973
Top hit found! SNR 30.703104, Drift Rate -0.000000, index 490016
Top hit found! SNR 25.928909, Drift Rate 0.009566, index 490060
Top hit found! SNR 13.258510, Drift Rate 0.009566, index 490103
Top hit found! SNR 214.200317, Drift Rate -0.000000, index 491520
Top hit found! SNR 60.819828, Drift Rate -0.000000, index 492017
Top hit found! SNR 24.200613, Drift Rate -0.000000, index 493076
Top hit found! SNR 16.991190, Drift Rate -0.000000, index 501378
Top hit found! SNR 27.734041, Drift Rate 0.057399, index 504249
Top hit found! SNR 60.283447, Drift Rate -0.000000, index 508153
Top hit found! SNR 12.137609, Drift Rate -0.000000, index 508758
Top hit found! SNR 37.965508, Drift Rate -0.000000, index 508779
Top hit found! SNR 19.926481, Drift Rate -0.000000, index 508886
Top hit found! SNR 19.861639, Drift Rate -0.000000, index 508908
Top hit found! SNR 20.677074, Drift Rate -0.000000, index 508929
Top hit found! SNR 33.048687, Drift Rate -0.000000, index 508993
Top hit found! SNR 105.595741, Drift Rate -0.000000, index 509015
Top hit found! SNR 20.296827, Drift Rate -0.000000, index 509122
Top hit found! SNR 16.206959, Drift Rate -0.000000, index 509144
Top hit found! SNR 16.082695, Drift Rate -0.000000, index 509165
Top hit found! SNR 15.651552, Drift Rate -0.000000, index 516469
Top hit found! SNR 39.907791, Drift Rate -0.000000, index 516512
Top hit found! SNR 36.289764, Drift Rate -0.000000, index 516534
Top hit found! SNR 40.120556, Drift Rate -0.000000, index 516555
Top hit found! SNR 13.777395, Drift Rate -0.000000, index 516598
Top hit found! SNR 24.586788, Drift Rate -0.000000, index 516630
Top hit found! SNR 27.691381, Drift Rate -0.000000, index 516651
Top hit found! SNR 26.123690, Drift Rate -0.000000, index 516673
Top hit found! SNR 10.184062, Drift Rate 0.038266, index 522698
Top hit found! SNR 10.197330, Drift Rate 0.047832, index 522729
Top hit found! SNR 10.151021, Drift Rate 0.028699, index 522752
Top hit found! SNR 10.505685, Drift Rate 0.133931, index 522792
Top hit found! SNR 10.787363, Drift Rate 0.095665, index 522854
Top hit found! SNR 11.522265, Drift Rate -0.114798, index 522907
Top hit found! SNR 11.677301, Drift Rate -0.047832, index 522931
Top hit found! SNR 12.658528, Drift Rate 0.009566, index 523000
Top hit found! SNR 13.058629, Drift Rate 0.114798, index 523047
Top hit found! SNR 13.127437, Drift Rate 0.105231, index 523084
Top hit found! SNR 13.925014, Drift Rate -0.019133, index 523130
Top hit found! SNR 14.433399, Drift Rate -0.114798, index 523185
Top hit found! SNR 15.874337, Drift Rate -0.124364, index 523234
Top hit found! SNR 16.816944, Drift Rate 0.038266, index 523276
Top hit found! SNR 16.268137, Drift Rate -0.066965, index 523301
Top hit found! SNR 17.946404, Drift Rate -0.066965, index 523335
Top hit found! SNR 18.062115, Drift Rate 0.038266, index 523370
Top hit found! SNR 18.814411, Drift Rate 0.009566, index 523395
Top hit found! SNR 21.085321, Drift Rate 0.047832, index 523493
Top hit found! SNR 23.318550, Drift Rate 0.019133, index 523532
Top hit found! SNR 25.000647, Drift Rate -0.038266, index 523585
Top hit found! SNR 29.717447, Drift Rate 0.057399, index 523682
Top hit found! SNR 308660.781250, Drift Rate -0.019133, index 524287
Top hit found! SNR 308660.781250, Drift Rate -0.009566, index 524288
Top hit found! SNR 308660.781250, Drift Rate -0.000000, index 524289
Top hit found! SNR 29.717451, Drift Rate -0.057399, index 524894
Top hit found! SNR 25.000647, Drift Rate 0.038266, index 524991
Top hit found! SNR 23.318554, Drift Rate -0.019133, index 525044
Top hit found! SNR 18.814411, Drift Rate -0.009566, index 525181
Top hit found! SNR 18.062120, Drift Rate -0.038266, index 525206
Top hit found! SNR 17.946402, Drift Rate 0.066965, index 525241
Top hit found! SNR 16.268137, Drift Rate 0.066965, index 525275
Top hit found! SNR 16.816944, Drift Rate -0.038266, index 525300
Top hit found! SNR 15.874341, Drift Rate 0.124364, index 525342
Top hit found! SNR 13.925018, Drift Rate 0.019133, index 525446
Top hit found! SNR 13.127437, Drift Rate -0.105231, index 525492
Top hit found! SNR 13.058629, Drift Rate -0.114798, index 525529
Top hit found! SNR 12.658530, Drift Rate -0.009566, index 525576
Top hit found! SNR 11.677301, Drift Rate 0.047832, index 525645
Top hit found! SNR 11.522265, Drift Rate 0.114798, index 525669
Top hit found! SNR 10.787363, Drift Rate -0.095665, index 525722
Top hit found! SNR 10.505687, Drift Rate -0.133931, index 525784
Top hit found! SNR 10.151025, Drift Rate -0.028699, index 525824
Top hit found! SNR 10.197330, Drift Rate -0.047832, index 525847
Top hit found! SNR 10.184062, Drift Rate -0.038266, index 525878
Top hit found! SNR 26.123686, Drift Rate -0.000000, index 531903
Top hit found! SNR 27.691383, Drift Rate -0.000000, index 531925
Top hit found! SNR 24.586788, Drift Rate -0.000000, index 531946
Top hit found! SNR 13.777397, Drift Rate -0.000000, index 531978
Top hit found! SNR 40.120556, Drift Rate -0.000000, index 532021
Top hit found! SNR 36.289764, Drift Rate -0.000000, index 532042
Top hit found! SNR 39.907791, Drift Rate -0.000000, index 532064
Top hit found! SNR 15.651556, Drift Rate -0.000000, index 532107
Top hit found! SNR 16.082695, Drift Rate -0.000000, index 539411
Top hit found! SNR 16.206963, Drift Rate -0.000000, index 539432
Top hit found! SNR 20.296827, Drift Rate -0.000000, index 539454
Top hit found! SNR 36.704018, Drift Rate -0.000000, index 539540
Top hit found! SNR 105.595741, Drift Rate -0.000000, index 539561
Top hit found! SNR 33.048687, Drift Rate -0.000000, index 539583
Top hit found! SNR 20.677073, Drift Rate -0.000000, index 539647
Top hit found! SNR 19.861643, Drift Rate -0.000000, index 539668
Top hit found! SNR 19.926483, Drift Rate -0.000000, index 539690
Top hit found! SNR 37.965511, Drift Rate -0.000000, index 539797
Top hit found! SNR 60.283447, Drift Rate -0.000000, index 540423
Top hit found! SNR 27.734039, Drift Rate -0.057399, index 544327
Top hit found! SNR 16.991192, Drift Rate -0.000000, index 547198
Top hit found! SNR 24.200613, Drift Rate -0.000000, index 555500
Top hit found! SNR 60.819839, Drift Rate -0.000000, index 556559
Top hit found! SNR 214.200317, Drift Rate -0.000000, index 557056
Top hit found! SNR 13.258510, Drift Rate -0.009566, index 558473
Top hit found! SNR 25.928909, Drift Rate -0.009566, index 558516
Top hit found! SNR 30.703104, Drift Rate -0.000000, index 558560
Top hit found! SNR 12.167954, Drift Rate 0.009566, index 558603
Top hit found! SNR 24.004404, Drift Rate -0.009566, index 558688
