
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.1645305668710781, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 359.871735, Drift Rate -0.114798, index 202008
Top hit found! SNR 26.423992, Drift Rate -0.124364, index 204313
Top hit found! SNR 3258.780029, Drift Rate -0.086098, index 309434
Top hit found! SNR 1169.993408, Drift Rate 0.047832, index 310979
Top hit found! SNR 286.657715, Drift Rate -0.143497, index 349531
Top hit found! SNR 14.846022, Drift Rate 0.057399, index 352295
Top hit found! SNR 14.975597, Drift Rate -0.028699, index 415493
Top hit found! SNR 254245.265625, Drift Rate -0.028699, index 416862
Top hit found! SNR 22.499424, Drift Rate -0.028699, index 416963
Top hit found! SNR 16.172165, Drift Rate -0.047832, index 417296
Top hit found! SNR 24577.759766, Drift Rate -0.028699, index 417630
Top hit found! SNR 6078.654785, Drift Rate 0.038266, index 422718
Top hit found! SNR 382.378021, Drift Rate -0.057399, index 424026
Top hit found! SNR 20.962589, Drift Rate -0.000000, index 431894
Top hit found! SNR 570.879761, Drift Rate -0.066965, index 436910
Top hit found! SNR 23.285681, Drift Rate -0.047832, index 456958
Top hit found! SNR 17.256863, Drift Rate 0.066965, index 464147
Top hit found! SNR 13.123106, Drift Rate -0.124364, index 469674
Top hit found! SNR 14.707639, Drift Rate 0.038266, index 471473
Top hit found! SNR 18.279079, Drift Rate -0.000000, index 475879
Top hit found! SNR 26.638451, Drift Rate -0.162630, index 477000
Top hit found! SNR 37.579391, Drift Rate 0.047832, index 484192
Top hit found! SNR 10.133677, Drift Rate 0.153064, index 485736
Top hit found! SNR 10.294744, Drift Rate 0.019133, index 489165
Top hit found! SNR 10.072254, Drift Rate 0.019133, index 489327
Top hit found! SNR 24.432364, Drift Rate 0.009566, index 489369
Top hit found! SNR 13.097445, Drift Rate -0.019133, index 489500
Top hit found! SNR 25.661314, Drift Rate -0.000000, index 489543
Top hit found! SNR 29.696129, Drift Rate -0.000000, index 489586
Top hit found! SNR 24.965624, Drift Rate 0.009566, index 489716
Top hit found! SNR 23.215298, Drift Rate -0.000000, index 489801
Top hit found! SNR 25.005030, Drift Rate 0.009566, index 489888
Top hit found! SNR 11.003759, Drift Rate -0.009566, index 489972
