,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
49,50,-0.019133,10.541818,3139.840924,1014635,3139.853784,3139.828069,3,2351718,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
341,342,-0.057399,13.027647,2441.152236,475393,2441.165097,2441.139381,242,10720767,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
367,368,-0.143497,14.034859,2265.383355,470966,2265.396216,2265.3705,302,83,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
427,428,0.028699,14.627717,2186.838479,271720,2186.85134,2186.825624,329,111636,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
508,509,0.028699,10.635386,2182.469762,786769,2182.482622,2182.456907,330,71153918,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
514,515,0.009566,11.687222,2182.28135,854204,2182.294211,2182.268495,330,71153918,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
576,577,-0.009566,19.302877,2140.75985,1035264,2140.77271,2140.746995,344,47,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
579,580,-0.028699,10.060555,2124.940061,405931,2124.952921,2124.927206,350,923267,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
581,582,-0.076532,15.324212,2107.595034,322502,2107.607894,2107.582179,356,6818,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
582,583,-0.076532,15.57169,2107.306207,425877,2107.319068,2107.293352,356,6818,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,0,0.0
