
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=31.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.971514, Drift Rate 0.086098, index 94632
Top hit found! SNR 432.803680, Drift Rate -0.009566, index 202045
Top hit found! SNR 3851.345215, Drift Rate 0.009566, index 309459
Top hit found! SNR 292.600372, Drift Rate -0.344394, index 349562
Top hit found! SNR 310235.656250, Drift Rate 0.009566, index 416874
Top hit found! SNR 640.714844, Drift Rate -0.124364, index 436925
Top hit found! SNR 22.923151, Drift Rate -0.411359, index 456973
Top hit found! SNR 18.826935, Drift Rate 0.267862, index 464118
Top hit found! SNR 27.420334, Drift Rate -0.440059, index 477030
Top hit found! SNR 38.520508, Drift Rate 0.344394, index 484184
Top hit found! SNR 208.758209, Drift Rate -0.000000, index 491520
Top hit found! SNR 73.045776, Drift Rate -0.000000, index 508150
Top hit found! SNR 47.036850, Drift Rate -0.000000, index 516534
Top hit found! SNR 34935.902344, Drift Rate -0.000000, index 524287
Top hit found! SNR 34935.902344, Drift Rate 0.009566, index 524288
Top hit found! SNR 34935.902344, Drift Rate 0.019133, index 524289
Top hit found! SNR 47.036854, Drift Rate -0.000000, index 532042
Top hit found! SNR 73.045776, Drift Rate -0.000000, index 540426
Top hit found! SNR 208.758209, Drift Rate -0.000000, index 557056
Top hit found! SNR 38.520508, Drift Rate -0.344394, index 564392
Top hit found! SNR 27.420338, Drift Rate 0.440059, index 571546
Top hit found! SNR 18.826935, Drift Rate -0.267862, index 584458
Top hit found! SNR 22.923151, Drift Rate 0.411359, index 591603
Top hit found! SNR 640.714844, Drift Rate 0.124364, index 611651
Top hit found! SNR 310235.656250, Drift Rate -0.009566, index 631702
Top hit found! SNR 292.600372, Drift Rate 0.344394, index 699014
Top hit found! SNR 3851.344727, Drift Rate -0.009566, index 739117
Top hit found! SNR 432.803772, Drift Rate 0.009566, index 846531
Top hit found! SNR 10.971509, Drift Rate -0.086098, index 953944
Top hit found! SNR 1039.306396, Drift Rate -0.000000, index 794942
Top hit found! SNR 1820.602905, Drift Rate -0.000000, index 17021
