,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-0.047832,366.038696,3150.900373,202032,3150.904455,3150.896296,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
1,2,-0.019133,3138.960693,3150.600248,309451,3150.60433,3150.596171,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
2,3,-0.028699,1197.709106,3150.595956,310987,3150.600038,3150.59188,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
3,4,-0.038266,314.850555,3150.488151,349572,3150.492233,3150.484074,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
4,5,-0.047832,15.539999,3150.479702,352596,3150.483784,3150.475626,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
5,6,-0.009566,240907.34375,3150.300122,416870,3150.304204,3150.296046,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
6,7,0.019133,6088.817871,3150.283767,422724,3150.287849,3150.27969,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
8,9,-0.057399,661.882507,3150.244081,436928,3150.248163,3150.240005,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
9,10,-0.19133,24.455801,3150.188045,456984,3150.192127,3150.183969,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
11,12,0.105231,18.671825,3150.168149,464105,3150.172231,3150.164073,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
12,13,-0.038266,13.693254,3150.152525,469697,3150.156607,3150.148449,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
13,14,0.009566,14.65651,3150.147603,471459,3150.151685,3150.143526,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
14,15,-0.248729,29.032917,3150.132012,477039,3150.136094,3150.127936,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
15,16,-0.019133,41.01516,3150.112108,484163,3150.11619,3150.108032,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
16,17,0.009566,25.782871,3150.096926,489597,3150.101008,3150.092849,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
22,23,0.009566,97097.109375,3149.999997,524289,3150.004079,3149.995921,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
28,29,-0.009566,25.782866,3149.903074,558979,3149.907156,3149.898998,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
29,30,0.019133,41.015171,3149.887892,564413,3149.891974,3149.883816,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
30,31,0.248729,29.032921,3149.867988,571537,3149.87207,3149.863911,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
31,32,-0.009566,14.65651,3149.852397,577117,3149.856479,3149.848321,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
32,33,0.038266,13.693256,3149.847475,578879,3149.851556,3149.843398,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
33,34,-0.105231,18.671822,3149.831851,584471,3149.835933,3149.827774,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
35,36,0.19133,24.455797,3149.811955,591592,3149.816037,3149.807878,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
36,37,0.057399,661.882385,3149.755919,611648,3149.760001,3149.751843,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
38,39,-0.019133,6088.817871,3149.716233,625852,3149.720315,3149.712157,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
39,40,0.009566,240907.328125,3149.699878,631706,3149.70396,3149.695801,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
40,41,0.047832,15.539997,3149.520298,695980,3149.52438,3149.516222,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
41,42,0.038266,314.850555,3149.511849,699004,3149.515931,3149.507773,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
42,43,0.028699,1197.709106,3149.404044,737589,3149.408126,3149.399967,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
43,44,0.019133,3138.959961,3149.399752,739125,3149.403834,3149.395676,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
44,45,0.047832,366.038727,3149.099627,846544,3149.103709,3149.095551,0,18910978,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
45,46,9.719554,196.14798,3147.069072,524732,3147.073154,3147.064996,1,64828,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
48,49,-0.019133,29.021063,3144.920463,245173,3144.924545,3144.916387,2,124831,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
49,50,0.009566,38.490368,3144.9085,249455,3144.912582,3144.904423,2,124831,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
50,51,-0.009566,138.506638,3144.903124,251379,3144.907206,3144.899048,2,124831,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
52,53,-4.553649,77.344696,3144.141212,524078,3144.145294,3144.137135,2,124831,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
61,62,2.075928,63.738754,3141.210675,524382,3141.214757,3141.206598,3,744355,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
71,72,-0.019133,10.541818,3139.840924,1014635,3139.845006,3139.836847,3,744355,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
73,74,-0.028699,94.728668,3139.806251,1027045,3139.810333,3139.802174,3,744355,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,10.000000,292.057776,,on_table_1,,,0.0
