,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
46,47,0.038266,10.472268,3150.004384,522719,3150.004482,3150.004292,0,264026,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
51,52,0.009566,16.796144,3150.003001,523214,3150.003099,3150.002909,0,264026,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
55,56,-0.009566,16.796148,3149.996999,525362,3149.997097,3149.996907,0,264026,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
60,61,-0.038266,10.472272,3149.995616,525857,3149.995714,3149.995524,0,264026,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
404,405,-0.095665,25.404123,3108.995431,520331,3108.995529,3108.995339,14,3005,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
496,497,0.210463,153.816391,3025.051171,156448,3025.051268,3025.051078,43,1802,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
561,562,0.200896,32.933624,2465.99359,1021510,2465.993688,2465.993498,233,5534,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
562,563,0.220029,55.957001,2465.987033,1023857,2465.987131,2465.986941,233,5534,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
564,565,0.229596,18.075794,2463.057343,1023858,2463.05744,2463.05725,234,1103,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
565,566,0.16263,13.611839,2463.056429,1024185,2463.056527,2463.056337,234,1103,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
566,567,-0.220029,12.521993,2461.989089,357625,2461.989186,2461.988996,235,114,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
567,568,-0.220029,11.670444,2441.092959,496609,2441.093057,2441.092867,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
568,569,0.229596,12.257177,2441.092842,496651,2441.09294,2441.09275,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
570,571,-0.220029,103.147263,2441.048778,512422,2441.048876,2441.048686,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
571,572,-0.220029,16.973192,2441.048284,512599,2441.048381,2441.048191,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
575,576,-0.229596,11.97576,2440.99191,532776,2440.992008,2440.991818,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
577,578,-0.229596,17.705185,2440.990753,533190,2440.990851,2440.990661,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
579,580,0.200896,13.274007,2440.989401,533674,2440.989499,2440.989309,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
580,581,-0.229596,14.750215,2440.986719,534634,2440.986816,2440.986626,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
584,585,0.066965,11.098098,2440.982584,536114,2440.982681,2440.982491,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
586,587,0.095665,10.754517,2440.981424,536529,2440.981522,2440.981332,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
