
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.6564 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.18732638889, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5, max_drift=0.21686506355568377, min_drift=0.14457670903712252, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 24.834595, Drift Rate 0.181763, index 204349
Top hit found! SNR 1161.691040, Drift Rate 0.200896, index 311000
Top hit found! SNR 15.415086, Drift Rate -0.181763, index 352572
Top hit found! SNR 26325.626953, Drift Rate 0.200896, index 417648
Top hit found! SNR 17.281696, Drift Rate 0.153064, index 464130
Top hit found! SNR 10.572423, Drift Rate -0.162630, index 522803
Top hit found! SNR 13.006394, Drift Rate 0.162630, index 523003
Top hit found! SNR 13.355552, Drift Rate 0.210463, index 523069
Top hit found! SNR 13.355552, Drift Rate -0.210463, index 525507
Top hit found! SNR 13.006394, Drift Rate -0.162630, index 525573
Top hit found! SNR 10.572423, Drift Rate 0.162630, index 525773
Top hit found! SNR 26325.630859, Drift Rate -0.200896, index 630928
Top hit found! SNR 15.415086, Drift Rate 0.181763, index 696004
Top hit found! SNR 1161.691040, Drift Rate -0.200896, index 737576
Top hit found! SNR 24.834599, Drift Rate -0.181763, index 844227
Top hit found! SNR 40.483871, Drift Rate 0.172197, index 524291
Top hit found! SNR 45.019909, Drift Rate 0.172197, index 524289
Top hit found! SNR 43.395065, Drift Rate 0.210463, index 524292
Top hit found! SNR 40.662334, Drift Rate -0.162630, index 524285
Top hit found! SNR 32.679367, Drift Rate 0.162630, index 524289
Top hit found! SNR 21.693451, Drift Rate -0.162630, index 524285
Top hit found! SNR 15.745257, Drift Rate 0.200896, index 524290
Top hit found! SNR 14.091909, Drift Rate 0.162630, index 524291
Top hit found! SNR 13.804123, Drift Rate 0.191330, index 524292
Top hit found! SNR 12.951617, Drift Rate -0.162630, index 524287
