
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.21714069261334942, min_drift=0.14476046174223298, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.874467, Drift Rate -0.210463, index 94608
Top hit found! SNR 453.975159, Drift Rate -0.181763, index 202028
Top hit found! SNR 26.104549, Drift Rate 0.153064, index 204328
Top hit found! SNR 10.526396, Drift Rate 0.200896, index 522791
Top hit found! SNR 13.296177, Drift Rate 0.172197, index 523066
Top hit found! SNR 16.117531, Drift Rate -0.191330, index 523247
Top hit found! SNR 16.117537, Drift Rate 0.191330, index 525329
Top hit found! SNR 13.296179, Drift Rate -0.172197, index 525510
Top hit found! SNR 10.526396, Drift Rate -0.200896, index 525785
Top hit found! SNR 453.975159, Drift Rate 0.181763, index 846548
Top hit found! SNR 10.874464, Drift Rate 0.210463, index 953968
Top hit found! SNR 15.044506, Drift Rate 0.172197, index 1021393
Top hit found! SNR 15.273561, Drift Rate 0.191330, index 1022320
Top hit found! SNR 69.964806, Drift Rate 0.210463, index 1023736
Top hit found! SNR 13.773108, Drift Rate 0.210463, index 1023736
Top hit found! SNR 29.207151, Drift Rate 0.210463, index 357693
Top hit found! SNR 14.520249, Drift Rate -0.210463, index 534757
Top hit found! SNR 23.227699, Drift Rate 0.162630, index 534955
Top hit found! SNR 24.222546, Drift Rate 0.200896, index 535158
Top hit found! SNR 32.228012, Drift Rate -0.200896, index 537435
Top hit found! SNR 18.833614, Drift Rate -0.181763, index 588188
Top hit found! SNR 34.684193, Drift Rate 0.172197, index 46288
Top hit found! SNR 361.103088, Drift Rate 0.181763, index 46289
Top hit found! SNR 10.339969, Drift Rate 0.181763, index 46505
Top hit found! SNR 90.818619, Drift Rate 0.210463, index 47868
