
f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2964			3151			1			00		5952416185		['ON_S']
	2776			2964			1			01		5952416185		['ON_S']
	2589			2776			1			02		5952416185		['ON_S']
	2401			2589			1			03		5952416185		['ON_S']
	2214			2401			1			04		5952416185		['ON_S']
	2026			2214			1			05		5952416185		['ON_S']
	1839			2026			1			06		5952416185		['ON_S']
	1651			1839			1			07		5952416185		['ON_S']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2964			3151			1			00		5952416528		['OFF_HD13908']
	2776			2964			1			01		5952416528		['OFF_HD13908']
	2589			2776			1			02		5952416528		['OFF_HD13908']
	2401			2589			1			03		5952416528		['OFF_HD13908']
	2214			2401			1			04		5952416528		['OFF_HD13908']
	2026			2214			1			05		5952416528		['OFF_HD13908']
	1839			2026			1			06		5952416528		['OFF_HD13908']
	1651			1839			1			07		5952416528		['OFF_HD13908']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2964			3151			1			00		5952416875		['ON_S']
	2776			2964			1			01		5952416875		['ON_S']
	2589			2776			1			02		5952416875		['ON_S']
	2401			2589			1			03		5952416875		['ON_S']
	2214			2401			1			04		5952416875		['ON_S']
	2026			2214			1			05		5952416875		['ON_S']
	1839			2026			1			06		5952416875		['ON_S']
	1651			1839			1			07		5952416875		['ON_S']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2964			3151			1			00		5952417215		['OFF_HD13908']
	2776			2964			1			01		5952417215		['OFF_HD13908']
	2589			2776			1			02		5952417215		['OFF_HD13908']
	2401			2589			1			03		5952417215		['OFF_HD13908']
	2214			2401			1			04		5952417215		['OFF_HD13908']
	2026			2214			1			05		5952417215		['OFF_HD13908']
	1839			2026			1			06		5952417215		['OFF_HD13908']
	1651			1839			1			07		5952417215		['OFF_HD13908']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2964			3151			1			00		5952417554		['ON_S']
	2776			2964			1			01		5952417554		['ON_S']
	2589			2776			1			02		5952417554		['ON_S']
	2401			2589			1			03		5952417554		['ON_S']
	2214			2401			1			04		5952417554		['ON_S']
	2026			2214			1			05		5952417554		['ON_S']
	1839			2026			1			06		5952417554		['ON_S']
	1651			1839			1			07		5952417554		['ON_S']

f_start (MHz)	f_stop (MHz)	Num_Scans	BLC Node	MJD Start	Targets
	2964			3151			1			00		5952417892		['OFF_HD13908']
	2776			2964			1			01		5952417892		['OFF_HD13908']
	2589			2776			1			02		5952417892		['OFF_HD13908']
	2401			2589			1			03		5952417892		['OFF_HD13908']
	2214			2401			1			04		5952417892		['OFF_HD13908']
	2026			2214			1			05		5952417892		['OFF_HD13908']
	1839			2026			1			06		5952417892		['OFF_HD13908']
	1651			1839			4			07		5952417892		['OFF_HD13908']
