
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5935 deg>, 'src_raj': <Angle 2.30407333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.191296296296, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5, max_drift=0.203168369259515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 366.038696, Drift Rate -0.047832, index 202032
Top hit found! SNR 28.174726, Drift Rate -0.086098, index 204334
Top hit found! SNR 3138.960693, Drift Rate -0.019133, index 309451
Top hit found! SNR 1197.709106, Drift Rate -0.028699, index 310987
Top hit found! SNR 314.850555, Drift Rate -0.038266, index 349572
Top hit found! SNR 15.539999, Drift Rate -0.047832, index 352596
Top hit found! SNR 17.511278, Drift Rate -0.000000, index 415503
Top hit found! SNR 240907.343750, Drift Rate -0.009566, index 416870
Top hit found! SNR 14.917317, Drift Rate -0.009566, index 417108
Top hit found! SNR 19.352345, Drift Rate -0.028699, index 417429
Top hit found! SNR 26936.144531, Drift Rate 0.028699, index 417639
Top hit found! SNR 6088.817871, Drift Rate 0.019133, index 422724
Top hit found! SNR 381.298309, Drift Rate 0.009566, index 424043
Top hit found! SNR 21.060972, Drift Rate -0.000000, index 431894
Top hit found! SNR 661.882507, Drift Rate -0.057399, index 436928
Top hit found! SNR 24.455801, Drift Rate -0.191330, index 456984
Top hit found! SNR 10.712529, Drift Rate -0.000000, index 458752
Top hit found! SNR 18.671825, Drift Rate 0.105231, index 464105
Top hit found! SNR 13.693254, Drift Rate -0.038266, index 469697
Top hit found! SNR 14.656510, Drift Rate 0.009566, index 471459
Top hit found! SNR 21.009512, Drift Rate -0.000000, index 475875
Top hit found! SNR 28.443680, Drift Rate -0.047832, index 477054
Top hit found! SNR 41.015160, Drift Rate -0.019133, index 484163
Top hit found! SNR 10.187065, Drift Rate -0.019133, index 485697
Top hit found! SNR 21.970575, Drift Rate -0.019133, index 489368
