
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.874467, Drift Rate -0.210463, index 94608
Top hit found! SNR 453.975159, Drift Rate -0.181763, index 202028
Top hit found! SNR 26.104549, Drift Rate 0.153064, index 204328
Top hit found! SNR 4116.957520, Drift Rate -0.105231, index 309448
Top hit found! SNR 1244.661377, Drift Rate 0.066965, index 310981
Top hit found! SNR 320.277039, Drift Rate 0.114798, index 349580
Top hit found! SNR 15.975838, Drift Rate 0.047832, index 352613
Top hit found! SNR 14.182978, Drift Rate -0.000000, index 415507
Top hit found! SNR 319955.906250, Drift Rate -0.057399, index 416868
Top hit found! SNR 14.681329, Drift Rate 0.009566, index 417109
Top hit found! SNR 17.104950, Drift Rate 0.038266, index 417435
Top hit found! SNR 26341.037109, Drift Rate 0.028699, index 417634
Top hit found! SNR 5278.073730, Drift Rate -0.028699, index 422727
Top hit found! SNR 380.795807, Drift Rate 0.038266, index 424044
Top hit found! SNR 20.731947, Drift Rate -0.000000, index 431894
Top hit found! SNR 669.667542, Drift Rate 0.028699, index 436932
Top hit found! SNR 24.745052, Drift Rate 0.124364, index 456992
Top hit found! SNR 10.228162, Drift Rate -0.000000, index 458752
Top hit found! SNR 18.431046, Drift Rate 0.047832, index 464106
Top hit found! SNR 14.547734, Drift Rate 0.038266, index 469702
Top hit found! SNR 15.583932, Drift Rate -0.066965, index 471458
Top hit found! SNR 18.850622, Drift Rate -0.000000, index 475875
Top hit found! SNR 28.967522, Drift Rate 0.114798, index 477053
Top hit found! SNR 39.276684, Drift Rate -0.086098, index 484164
Top hit found! SNR 10.248981, Drift Rate 0.220029, index 485694
