
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=0.20252184167554832, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.971514, Drift Rate 0.086098, index 94632
Top hit found! SNR 432.803680, Drift Rate -0.009566, index 202045
Top hit found! SNR 23.504429, Drift Rate -0.200896, index 204337
Top hit found! SNR 3851.345215, Drift Rate 0.009566, index 309459
Top hit found! SNR 1046.251831, Drift Rate -0.172197, index 310978
Top hit found! SNR 290.485199, Drift Rate -0.181763, index 349573
Top hit found! SNR 15.533765, Drift Rate -0.133931, index 352614
Top hit found! SNR 15.339971, Drift Rate -0.000000, index 415506
Top hit found! SNR 310235.656250, Drift Rate 0.009566, index 416874
Top hit found! SNR 12.289907, Drift Rate 0.009566, index 417110
Top hit found! SNR 18.228994, Drift Rate -0.038266, index 417432
Top hit found! SNR 24974.554688, Drift Rate -0.172197, index 417630
Top hit found! SNR 6743.971191, Drift Rate 0.019133, index 422729
Top hit found! SNR 391.888336, Drift Rate -0.019133, index 424040
Top hit found! SNR 20.611500, Drift Rate -0.000000, index 431894
Top hit found! SNR 640.714844, Drift Rate -0.124364, index 436925
Top hit found! SNR 21.964251, Drift Rate -0.200896, index 456982
Top hit found! SNR 18.156248, Drift Rate 0.191330, index 464118
Top hit found! SNR 13.683185, Drift Rate -0.076532, index 469699
Top hit found! SNR 14.921531, Drift Rate 0.153064, index 471467
Top hit found! SNR 19.313917, Drift Rate 0.009566, index 475875
Top hit found! SNR 26.350567, Drift Rate -0.172197, index 477050
Top hit found! SNR 37.677094, Drift Rate 0.047832, index 484168
Top hit found! SNR 17.851738, Drift Rate -0.057399, index 489362
Top hit found! SNR 14.035517, Drift Rate -0.047832, index 489551
Top hit found! SNR 25.068388, Drift Rate -0.009566, index 489597
Top hit found! SNR 24.242594, Drift Rate -0.009566, index 489640
Top hit found! SNR 20.139648, Drift Rate -0.000000, index 489767
Top hit found! SNR 20.851011, Drift Rate -0.009566, index 489854
Top hit found! SNR 20.090504, Drift Rate 0.009566, index 489940
Top hit found! SNR 26.625591, Drift Rate -0.009566, index 490069
Top hit found! SNR 25.970531, Drift Rate -0.019133, index 490110
Top hit found! SNR 208.758209, Drift Rate -0.000000, index 491520
Top hit found! SNR 58.973118, Drift Rate -0.000000, index 492012
Top hit found! SNR 17.310915, Drift Rate -0.009566, index 493082
Top hit found! SNR 23.012278, Drift Rate -0.000000, index 501381
Top hit found! SNR 27.659620, Drift Rate 0.076532, index 504232
Top hit found! SNR 73.045776, Drift Rate -0.000000, index 508150
